Sphinx 2.2.10-id64-release (2c212e0)
Copyright (c) 2001-2015, Andrew Aksyonoff
Copyright (c) 2008-2015, Sphinx Technologies Inc (http://sphinxsearch.com)

using config file '/data/server/gaojian/sphinx/sphinx.conf'...
dumping dictionary for index 'talent_index'...
keyword,docs,hits,offset
獐,28,37,64776071
獑,2,2,129331437
獒,3,3,286972605
獔,1,1,60875606
獕,1,1,135225130
獖,8,10,287927370
獗,9,9,259913844
獘,3,3,50534526
獙,9,10,119206821
獚,1,1,301708910
獛,4,4,269107242
獜,6,8,51607229
獝,1,1,119122356
獞,3,5,297347946
獟,3,3,276147507
獠,4,4,19926345
獢,2,2,329607217
獣,7,8,212043276
獥,10,11,176521426
獦,4,4,327086498
獨,19,58,8675756
獩,3,5,166491329
獫,1,1,227010556
獬,1,1,3669759
獭,4,8,170664843
獮,1,1,341461114
獯,3,3,225421472
獲,21,43,367487861
獵,1,1,147326978
獷,1,1,196961453
獻,4,4,185271240
獾,1,1,351778792
玃,1,1,186490115
玄,568,692,41439431
玆,1,1,354051812
率,51335,108851,192694795
玉,4985,6974,142116342
王,22703,30351,199823169
玎,14,15,374941371
玑,52,64,164374933
玒,1,1,334921118
玖,550,826,346707340
玗,1,1,222066938
玛,4504,7784,210029449
玟,11,11,219832139
玢,19,19,302839720
玤,1,1,57197373
玥,21,34,113336800
玩,19652,38204,128528870
玫,699,1126,263431109
玮,555,637,292153216
环,138144,391180,256408310
现,223379,728834,84669709
玲,1798,2247,309425518
玳,5,5,236732238
玵,1,1,109423849
玺,444,617,320916446
玻,1975,4040,246504557
玿,1,1,251820389
珀,357,485,3664537
珂,445,642,340794532
珄,1,1,7694521
珅,4,9,164973571
珆,1,1,339824688
珇,1,1,226821598
珈,177,256,21466584
珉,34,44,176530708
珊,582,908,327127973
珍,2300,3001,177711078
珏,105,129,212076028
珐,63,87,46626164
珑,312,388,149686949
珖,1,1,364293859
珙,5,6,146921587
珝,1,1,140067396
珞,113,148,367341953
珠,8628,17107,80996576
珢,1,1,313837585
珣,2,2,232359078
珤,1,1,86763363
珥,2,4,103887267
珧,2,2,241151155
珨,1,2,80824447
珩,63,69,90059893
珪,3,3,317185553
珫,1,1,253882324
班,39081,80215,101245459
珮,11,11,322156636
珰,4,4,51851197
珱,1,1,119122362
珲,78,129,298048766
珵,1,1,119965145
珶,1,1,302070058
珺,8,8,287355693
珻,1,1,259810292
現,239,469,286740072
珿,1,1,260316387
琀,1,1,304699934
球,43487,86464,122978332
琅,122,155,280044092
理,216872,2775102,53306687
琇,2,2,115874877
琉,78,156,262911566
琊,8,17,67025899
琋,1,1,127826548
琍,1,1,257323757
琎,2,2,57720716
琏,9,10,138960670
琐,1562,1706,308067297
琑,1,1,238498130
琔,1,1,311956997
琘,1,1,320084409
琚,27,33,70062314
琛,303,492,96215195
琜,1,1,318166539
琝,2,2,250370126
琡,1,1,188446913
琢,225,236,37016738
琥,109,140,190162880
琦,821,953,43515221
琧,1,1,151813322
琨,123,149,371320537
琪,995,1146,31675200
琬,18,28,376247756
琭,1,1,197640067
琮,18,23,29470276
琰,115,127,337620786
琱,1,1,230332707
琳,1398,1883,161178233
琴,2481,3692,344485585
琵,75,90,224413018
琶,185,249,1294657
琼,807,1010,323486144
瑀,2,2,312913860
瑁,24,32,233145948
瑃,1,1,110824027
瑋,2,2,90489160
瑔,1,1,301684768
瑕,158,201,272336921
瑖,1,6,50426643
瑗,2,2,122109761
瑙,45,57,258909102
瑚,79,100,62260689
瑛,127,142,132288535
瑜,1228,1535,284589474
瑞,14927,24283,63024027
瑟,286,370,129603595
瑠,2,2,342644593
瑡,2,6,224471849
瑢,1,1,4164294
瑣,1,1,167318214
瑥,1,1,227018574
瑦,1,2,6205579
瑩,2,3,216325973
瑪,3,3,23372849
瑫,1,1,176023204
瑭,31,36,215249246
瑮,1,2,19588117
瑯,1,5,179043374
瑰,527,830,351394146
瑲,8,11,46262108
瑴,1,1,366984063
瑶,734,871,35791693
瑷,18,23,159250261
瑸,3,3,377273049
瑹,1,1,197082242
瑾,246,270,33750553
璀,79,88,374941538
璁,50,137,197407297
璂,1,1,29408929
璃,1876,3712,143257660
璄,3,5,371207531
璇,232,282,142694148
璉,1,1,192694316
璊,1,1,45178631
璋,74,91,153385267
璎,4,5,37328269
璐,760,930,323641319
璕,2,5,210029353
璘,2,2,344340117
璚,2,2,1246284
璜,48,57,335921751
璞,221,274,12061318
璟,12,19,160036731
璠,2,2,290355324
璣,1,1,138144176
璤,1,1,282176476
璦,1,1,66324347
璧,103,129,125526601
璨,124,146,293263732
璩,1,1,280045019
環,90,489,318674671
璵,1,2,249848835
璺,1,1,82709386
璽,1,1,238402915
璾,1,1,83705407
瓀,1,1,328427843
瓁,1,1,214036651
瓅,1,1,215728599
瓈,2,2,339407943
瓊,2,2,7688976
瓌,1,1,343823106
瓏,5,5,169312289
瓑,1,1,204461141
瓒,12,15,33774045
瓖,1,1,27542967
瓙,8,12,183484610
瓛,3,3,159237338
瓜,420,653,349856581
瓞,1,1,45237313
瓟,1,1,149689616
瓡,1,1,242177108
瓢,20,31,69322584
瓣,547,820,98358041
瓤,6,6,315446348
瓥,4,4,253901929
瓦,1566,2476,77824460
瓧,13,13,90068650
瓨,3,3,307583783
瓩,1,1,240842063
瓫,4,4,103061965
瓭,1,1,233269414
瓮,80,211,80994809
瓯,88,132,112416380
瓲,1,1,63410090
瓴,15,17,289394610
瓶,2553,3810,62269756
瓷,1370,2374,132291257
瓻,1,1,119966009
瓾,1,1,52164825
瓿,15,21,118142380
甄,3641,4825,250370285
甈,1,1,238498123
甍,1,1,311953108
甑,49,51,283828396
甒,4,4,127825715
甘,3795,5864,263921171
甙,19,48,304699840
甚,1806,2020,122968800
甜,890,1185,279528385
甞,1,7,115875983
生,145026,546404,52681069
甡,1,1,331509081
產,78,529,179046116
産,137,455,16237675
甤,1,1,220217253
用,164651,1108953,230332985
甩,104,157,337620106
甪,1,1,161178219
甫,143,168,13535177
甬,147,187,224403675
甭,3,3,344499852
甯,13,19,1294454
田,10463,18664,203389737
由,59727,106460,371332833
甲,13568,28202,142806942
申,28608,58617,31544620
甴,1,2,197640075
电,182296,995490,375488689
甶,1,1,145759704
男,151305,157234,29470420
甸,522,887,188444095
町,42,69,158218816
画,16558,43696,36941263
甾,26,34,151794585
畀,2,2,258909083
畁,1,1,289184237
畅,9780,13609,284542195
畈,21,26,273926604
畊,1,1,118262270
畋,2,2,52414036
界,38207,92294,272337917
畍,1,1,301684762
畏,653,673,50476882
畐,1,1,254011167
畔,557,793,242610575
畗,1,1,69336129
留,15138,23888,312842194
畚,2,2,110824014
畜,498,924,240731950
畞,1,1,103039149
畠,4,6,197082249
畢,10,11,147668634
畣,1,1,27217770
略,46674,139947,367579920
畦,8,8,139259520
畨,59,141,196708189
番,2357,3198,151780992
畫,18,33,46281832
畯,2,2,35791672
異,32,69,216325787
畲,24,27,176044775
畴,668,776,215250700
當,16,37,179040039
畷,1,1,19598407
畸,69,140,224471318
畹,9,12,342646001
畻,1,1,4164272
畼,1,1,227018580
畾,3,3,166497179
畿,12,16,6205990
疀,2,2,224214309
疁,2,4,344336443
疃,14,17,1247070
疄,1,1,227990917
疆,3123,6730,160036839
疊,1,1,175498650
疌,1,1,210028960
疍,1,1,332114014
疎,2,4,179942016
疏,1328,1600,16871679
疑,9763,12642,356832929
疒,2,3,153450837
疗,28185,58794,37328485
疙,3,11,374942957
疚,15,19,143266931
疝,18,32,371207283
疟,20,44,30954014
疠,1,1,233920937
疡,15,15,311375612
疢,2,2,107895040
疤,29,37,238403375
疧,1,1,83705509
疩,1,1,318675201
疫,1171,2713,77284518
疬,1,1,249848858
疮,48,56,97047165
疯,961,1450,71163667
疱,6,9,293262818
疲,554,798,118055110
疳,1,28,55649839
疵,176,219,305946188
疸,4,4,257103622
疹,18,29,290355217
疻,1,1,57384548
疼,132,164,262433325
疽,18,34,282176496
疾,1723,2878,125527260
疿,1,1,66323238
痂,5,5,159237228
痄,1,1,196102466
病,20212,29237,349859986
症,1203,1653,45230665
痉,2,2,369098041
痊,4,5,139294461
痍,3,3,378495655
痏,1,13,27478069
痐,1,1,227548056
痒,30,45,166657885
痔,15,18,225021193
痕,322,461,343807323
痗,1,1,4174596
痘,36,75,213734552
痛,999,1365,18560338
痞,10,10,175986881
痠,1,1,271114816
痢,1,1,119966087
痣,3,3,50217203
痤,2,2,273835830
痥,1,1,299432554
痦,1,88,118142151
痧,13,18,52200159
痪,92,114,130805257
痫,27,45,63409729
痰,16,24,240842071
痱,1,1,307575187
痴,205,250,233268196
痶,1,1,112426129
痹,18,38,322346564
痼,2,2,253898600
痽,1,1,315446385
痿,5,15,77807024
瘀,9,9,13540335
瘁,32,32,162199603
瘂,1,1,337442778
瘉,23,36,179043604
瘐,1,1,37018158
瘕,1,1,151794220
瘖,1,1,355799154
瘘,7,10,31329782
瘙,1,1,142787967
瘚,1,1,371929131
瘛,2,2,203441349
瘜,1,3,30098075
瘝,2,2,145766998
瘞,1,1,375464938
瘟,57,342,197637902
瘠,11,20,84536805
瘢,8,10,308080115
瘣,2,18,238499842
瘤,960,2017,83676894
瘦,442,735,311948111
瘧,1,1,233958949
瘨,2,2,70062476
瘩,3,11,96217805
瘪,2,2,320069238
瘫,108,119,247964605
瘬,7,12,74646286
瘮,1,1,318166767
瘯,1,1,250388399
瘳,1,1,264134107
瘴,3,3,54187790
瘷,1,1,279324927
瘸,3,3,67096366
瘹,5,9,127826555
瘺,1,2,283810961
瘻,1,1,262911559
瘼,1,1,57658443
瘽,2,2,138523078
瘾,43,47,290365824
瘿,1,1,257385531
癀,7,37,46262062
癁,6,9,151774225
療,22,41,351397046
癃,7,7,196710994
癄,1,1,35795251
癉,1,1,147669311
癌,340,724,33588268
癍,1,1,139259211
癑,1,1,167318207
癔,1,1,6206319
癖,100,105,338676347
癘,2,2,23372890
癜,22,30,19587984
癞,6,8,329062433
癡,1,1,118265205
癣,8,9,273885182
癤,1,1,50422340
癨,1,1,61740852
癩,1,1,132246588
癪,1,1,289184279
癫,32,45,258909569
癱,2,2,110824056
癸,13,18,79044713
発,246,2060,315552914
登,28172,54358,254125825
發,86,332,69336339
白,16087,24557,98612124
百,36295,89336,322909952
癿,1,1,242179623
皂,97,158,318674101
的,224125,5407682,70095029
皆,915,1087,320087467
皇,4344,7027,249862746
皈,10,10,82691005
皋,251,357,233921247
皎,33,43,307708117
皏,1,1,238402880
皑,17,18,138144268
皒,1,1,290353826
皓,467,528,257101103
皔,2,2,65719628
皕,8,13,125526506
皖,627,804,282882862
皙,31,34,117535711
皛,1,1,280464515
皜,1,1,50181301
皢,4,4,323656795
皤,2,4,16878832
皥,1,1,180735493
皦,1,1,332113600
皧,1,4,209906372
皩,1,1,172507559
皪,2,2,344335375
皫,1,1,224213914
皮,23365,34477,335925802
皯,3,5,228924891
皱,59,76,143257259
皳,1,1,197619366
皺,14,31,356832776
皿,105,130,188789618
盀,1,1,63291391
盂,14,22,286697529
盃,1,1,262404963
盄,1,1,62284075
盅,9,9,132307377
盆,244,318,289218619
盈,27406,33563,50234071
盉,1,1,120324026
益,28862,48017,300754008
盎,42,47,299432800
盏,104,173,273874578
盐,2629,4226,69310322
监,92690,299141,97942549
盒,4498,10483,322868996
盔,38,43,77832553
盖,14185,20994,315378686
盗,1504,2405,253890780
盘,26373,57327,88762859
盛,12280,18810,240783730
盞,1,1,313824620
盟,10983,21587,233838545
盡,6,9,139294660
監,69,141,204460770
盤,15,20,27312566
盥,10,18,148314757
盧,3,3,197288112
盪,2,2,366686613
目,225841,2253477,348944472
盯,370,532,196098857
盱,71,128,178064101
盲,714,917,328423939
直,61479,106937,23024274
盵,1,1,175978643
相,128381,381284,7072399
盹,3,3,166630239
盻,1,1,227673464
盼,544,698,4574020
盾,2548,3859,343367293
眀,7,10,142736161
省,45416,100468,31338394
眄,1,1,145767017
眈,2,2,158232795
眉,652,962,37018164
眊,1,1,188443690
看,45405,73037,357845104
県,20,23,151794466
眏,1,1,355802223
眙,71,127,13539863
眛,1,1,337601064
眝,1,1,1291333
眞,1,1,224418947
真,80882,119187,344499874
眠,338,580,127837068
眨,22,25,122968628
眩,31,42,48576390
眭,15,15,55164266
眮,1,1,279528224
眯,51,1866,293101503
眱,1,1,70075268
眲,1,1,247966123
眳,1,1,319802184
眵,1,1,74646273
眶,3,3,250388379
眷,22,23,318166779
眸,53,61,106629017
眺,30,30,238499865
眼,4654,6762,108487302
眾,11,15,233958108
着,27117,37252,176045338
睁,15,27,23372902
睂,1,1,216173634
睃,2,2,328226790
睆,6,9,215255401
睇,3,3,329579957
睌,1,3,166497229
睍,3,3,6206291
睐,349,365,147669324
睑,7,8,27222509
睔,6,13,139248989
睕,1,6,33680128
睗,2,2,367966162
睚,1,1,196708584
睛,342,492,351769292
睜,2,2,159312111
睡,533,797,79041800
睢,66,78,254011588
督,42334,93005,315554057
睥,3,3,69338735
睦,1336,1416,242603337
睨,4,4,110831615
睫,52,59,312841885
睬,8,12,103021889
睶,1,1,261451471
睸,1,1,118265086
睹,80,86,52526760
睺,1,1,273926598
睾,6,10,272516654
睿,2485,3224,301695328
瞁,1,1,55170768
瞄,117,168,124545433
瞅,2,2,50181470
瞈,1,1,138144363
瞊,2,8,257101087
瞌,2,2,125525478
瞍,1,1,66323217
瞎,56,76,262436103
瞒,57,57,233923141
瞜,1,1,97047142
瞝,1,1,70095000
瞟,1,1,320092911
瞠,4,4,153450851
瞢,2,2,191893587
瞣,1,1,356832720
瞤,1,1,158241122
瞥,4,4,37326930
瞧,35,134,359197484
瞩,143,161,28980387
瞪,26,33,197620881
瞬,575,722,142704918
瞭,17,18,30954134
瞰,95,132,172510106
瞳,54,70,344336128
瞶,1,1,228924998
瞻,1244,1371,323656818
瞼,1,1,179942032
瞿,108,120,332112993
矁,10,21,88762810
矄,1,1,112153225
矉,1,1,69310309
矋,2,6,322891868
矍,1,1,77832940
矏,1,1,315378679
矐,1,1,120324020
矑,1,1,50367064
矒,1,1,270553066
矓,1,1,300754001
矕,21,43,52068920
矗,17,17,299441030
矙,1,1,63409723
矛,1750,2073,286687885
矜,24,37,132307438
矞,1,1,259544463
矢,745,1052,227676275
矣,22,25,339529682
知,87172,164808,4175461
矦,1,1,225020440
矩,1798,2585,18571051
矫,308,419,328422132
短,23171,40293,22909606
矮,56,69,215792715
矯,2,2,327808397
石,53272,106575,366698514
矴,1,1,149690918
矶,195,259,196101355
矷,1,1,348912388
矸,57,95,139307467
矼,1,1,148314459
矽,62,102,27313623
矾,5,15,197288131
矿,18096,29360,378495771
砀,24,24,27259252
码,39358,124610,147796250
砂,643,987,378107272
砉,2,2,150888317
砊,1,1,349977430
砌,461,724,35798715
砍,247,344,159312974
砑,11,11,176174390
研,106977,389000,18788689
砕,1,98,178086678
砖,1374,2009,328997470
砗,8,8,214064923
砘,2,2,4163197
砚,71,85,342548534
砜,10,14,6710733
砝,33,33,166563571
砟,58,118,227019081
砠,1,1,61739891
砡,1,1,132246556
砢,1,13,288934331
砣,5,6,258711921
砤,1,1,63121855
砥,62,64,130674794
砦,7,9,285536129
砧,4,5,261807113
砩,1,1,118265212
砬,2,2,50396669
砭,8,8,120577904
砰,8,15,78263737
砱,1,1,90461529
破,8830,12752,69936143
砷,16,16,242865891
砸,150,199,80828024
砹,1,1,110843588
砺,420,449,313182849
砻,35,42,233209368
砼,460,833,87981935
砾,40,51,306850124
砿,1,15,240589415
础,48716,82520,16239879
硄,1,1,23435455
硅,1345,2416,175307769
硆,1,1,323260352
硇,2,2,220191591
硈,2,2,12834879
硌,3,5,1305567
硎,2,2,345529287
硏,1,1,224456174
硐,14,15,32506604
硒,66,91,372460171
硕,29515,62349,145021990
硖,2,2,375149095
硗,1,1,197634753
硚,3,3,356947515
硝,278,565,151826087
硟,3,5,190193426
硠,1,1,70029407
硣,1,1,247893821
硩,1,5,107739488
硪,2,2,309139281
硫,604,1534,238851411
硬,45144,125292,82753847
确,68177,164869,311643062
硯,1,1,233932296
硱,2,2,127825286
硲,2,3,283810946
硳,1,1,262529330
硶,8,8,291204643
硻,1,1,264286478
硼,58,79,52557841
碁,29,41,120324134
碃,2,2,271125753
碆,1,1,298218098
碇,4,4,272523874
碉,8,9,130712741
碌,392,486,62286154
碍,1906,2332,133898696
碎,1228,1559,290003411
碑,4452,6563,103094078
碒,1,1,307619691
碓,13,18,240870733
碗,171,225,233266466
碘,35,56,69292884
碚,72,97,322274543
碛,12,14,242008376
碜,5,5,77981016
碟,534,689,253902147
碢,2,2,365897119
碣,19,20,183467726
碥,1,1,150148061
碧,3331,7544,196295754
碨,1,1,34872825
碩,12,19,139426492
碯,1,58,197276689
碰,1586,2417,6824311
碱,398,743,166568157
碲,3,6,339404803
碳,1776,2774,227424667
碴,16,28,5915760
確,76,194,328429475
碻,1,1,214064003
碼,23,47,22804755
碽,1,19,175976508
碾,49,56,327178554
磁,2958,6071,108349341
磅,182,248,105614470
磉,1,1,91098305
磊,2275,2622,318193776
磋,348,419,251393293
磐,225,258,55651423
磑,1,1,118089528
磕,50,73,124236167
磚,5,5,290343197
磝,1,1,126942229
磠,1,1,327
磣,1,1,223877136
磤,1,1,12788815
磨,4615,6097,24938280
磩,1,1,175869661
磬,33,38,16500406
磭,2,6,179882597
磯,3,4,208495357
磰,1,1,44182117
磲,1,1,355861509
磴,4,4,37457754
磷,312,611,188832861
磺,94,170,375132844
磽,1,1,142566406
磾,1,1,371175235
礁,34,36,4162985
礃,1,3,342548925
礇,2,2,339404541
礉,1,1,23372995
礊,103,926,216330269
礋,1,1,328410769
礌,1,1,178069872
礍,2,2,19255953
礎,18,24,214378637
礏,1,1,328982452
礓,2,2,349975410
礙,3,3,27259412
礥,1,1,87981928
礪,1,1,253909505
礫,1,1,315520101
礯,2,2,323112112
礱,1,1,52527230
礳,1,1,300127855
礴,18,21,120576953
礵,1,1,50396682
礸,1,1,132246562
示,89886,153795,258288696
礼,20513,30497,130577039
礽,1,1,63122187
社,56463,132485,262117133
礿,3,3,285536095
祀,12,15,157110461
祁,258,314,35966829
祃,3,3,356947533
祆,3,17,190194212
祈,159,232,142890765
祉,54,89,32505799
祌,1,1,145021983
祎,23,33,197634760
祐,3,3,161164307
祔,1,1,174449807
祖,703,847,224446934
祘,2,2,179875010
祚,19,19,208093045
祛,56,99,331797018
祜,4,5,175314617
祝,1414,1690,23428175
神,65575,91343,219880878
祟,14,16,323260358
祠,74,110,124223574
祢,7,7,264286508
祥,3104,4112,52534060
祧,3,3,293036983
票,21874,54818,127726023
祬,2,2,139025298
祭,87,128,58055196
祮,1,1,257473323
祯,82,110,291206643
祰,1,1,107882649
祱,1,1,84562914
祵,1,1,83071983
祷,17,19,311641462
祸,47,59,96182510
祹,1,1,70028780
祺,414,488,247881166
祻,1,3,319774125
祿,2,3,318167015
禀,34,37,97638902
禁,2262,3587,69298392
禃,3,7,322176722
禄,321,432,90239329
禅,625,937,77977705
禆,1,1,253902140
禈,1,1,103094072
禍,1,2,80963507
禎,1,1,233254007
福,28898,60730,313427255
禖,1,1,259774178
禗,1,1,289861037
禚,4,4,271123783
禞,1,1,272539445
禧,362,533,327176563
禪,4,4,227424639
禮,4,8,225055064
禰,1,1,139425771
禱,2,2,34887265
禹,611,829,35068719
禺,1257,1759,183467847
离,112214,146233,365354999
禼,1,17,150148149
禽,343,507,45882732
禾,1201,1861,196268751
秀,52598,107966,137717581
私,11029,17509,57313130
秃,11,14,290343129
秄,1,1,126954149
秆,35,81,262443770
秉,1464,1613,55667304
秊,1,1,280465612
秋,3193,4060,293267486
种,77694,154889,49739844
科,197003,660751,75559347
秒,1893,2870,251383745
秗,1,1,320092953
秘,19456,27815,108378504
秙,1,1,82741941
秝,1,1,83698423
租,12023,27987,307652252
秣,11,15,375133356
秤,118,234,142422534
秥,1,1,30937926
秦,3326,5028,202688437
秧,19,23,371102806
秩,2402,2777,43522745
秫,5,5,355870180
秬,1,1,158274200
秭,9,9,37457782
秮,2,2,188834583
积,89155,176609,359208329
称,78853,113341,175539854
秲,1,4,220374645
秴,1,1,179903178
秵,1,1,16466815
秷,4,4,332106292
秸,41,101,172470300
移,41657,124536,344148803
秽,15,17,12788722
秿,1,5,336530292
稀,661,884,315520156
稁,1,1,253916454
稂,3,3,78263056
稃,4,4,90249426
稄,1,1,323111777
稅,11,14,242614373
稆,2,2,69978327
稇,6,12,98686738
稈,1,1,312944858
稊,1,1,80919516
程,198537,1448266,110843596
稍,584,636,240589654
税,17969,83845,87902055
稐,1,1,289179208
稑,1,1,258712005
稓,1,1,132244103
稔,50,55,285446474
稗,3,5,130675161
稘,2,2,300056172
稚,179,201,52527326
稜,1,1,301645021
稝,1,1,271669340
稞,10,13,50396327
稟,5,5,120576439
稠,153,236,328409625
稡,1,1,216329767
稣,6,7,176455173
稦,1,1,18788683
稧,1,1,178067521
稪,1,1,4162899
種,119,983,6711342
稱,5,7,197275417
稲,2,2,27266384
稳,37404,49579,148086995
稷,31,46,139248733
稹,6,6,196356689
稺,1,1,45897275
稻,390,665,150885905
稼,134,215,366984135
稽,4062,7765,184284310
稿,12432,25941,159463913
穀,1,1,283181752
穂,5,6,67025865
穅,1,1,257825004
穆,368,424,58053162
穉,1,1,264439654
積,74,121,279135833
穎,4,6,52558185
穏,7,7,115794591
穑,6,9,247870820
穒,2,2,70029511
穗,322,470,90750528
穘,1,1,309143797
穡,1,1,203530520
穥,2,2,197634640
穩,9,12,186994781
穪,1,1,35968205
穫,1,1,157112928
穰,2,2,331863345
穱,1,1,208166376
穴,147,216,323259265
穵,1,1,219842256
究,52876,139860,23437641
穷,433,546,175342844
穸,2,2,336544430
穹,209,335,229760238
空,39585,74540,12835101
穾,2,5,1298052
穿,2940,4092,174266862
窀,1,1,339407120
突,24059,32943,227433146
窂,1,1,6712709
窃,185,276,166567004
窄,276,345,343870459
窅,1,1,225055018
窆,4,4,6204224
窈,8,10,328429406
窊,1,1,18640538
窋,1,1,178067496
窍,152,256,215458271
窏,1,3,175896783
窐,2,2,365897556
窑,291,519,183479147
窒,7,8,35068656
窓,16,32,159224971
窕,4,4,196268268
窖,858,1861,45886456
窗,184100,385213,150148289
窘,50,59,369254001
窜,269,426,378277214
窝,701,1947,197277528
窟,40,65,148266382
窠,7,7,307595739
窢,1,1,89008604
窣,1,1,103121685
窥,85,114,233267447
窦,141,170,80919585
窨,6,8,322274932
窬,2,2,315448263
窮,2,8,77988462
窴,1,1,298218105
窽,1,1,259774090
窿,3,9,133908611
竃,1,1,152191950
竅,1,1,188835098
竆,1,1,37457713
竉,6,6,197624611
立,161853,382153,144197984
竓,1,1,172479109
竔,1,1,336531882
竖,469,627,12785334
站,58573,241481,221201872
竚,1,1,24938253
竝,1,1,208166544
竞,35745,68027,16500603
竟,1018,1217,179903646
章,20344,32910,293904133
竡,1,1,280465691
竣,6789,16570,118058420
童,4974,8686,264439838
竦,3,3,50164495
竧,1,1,124348150
竨,1,1,290342709
竭,759,787,262444327
端,198843,613555,126141748
竱,1,1,233924322
竳,1,1,108349334
竴,4,9,307630159
竵,21,64,237208911
競,25,76,83705076
竷,1,1,105615854
竹,1114,1572,251377886
竺,170,221,76372452
竽,2,2,249885819
竾,1,3,71168901
竿,97,114,97049207
笂,3,5,118265357
笃,122,130,52528387
笄,2,2,271669325
笆,30,69,120576469
笈,27,40,258712011
笉,4,5,289179181
笋,45,56,61620729
笌,1,1,261791987
笍,1,1,285535397
笎,1,1,130712480
笏,1,1,63122195
笑,2481,3449,312948303
笔,11450,17709,240592948
笕,5,5,306930591
笖,1,1,102796844
笘,1,1,253916447
笙,76,100,315523802
笚,1,1,90249464
笛,417,549,78260762
笞,2,2,98686716
笟,4,4,70028736
笠,11,12,196356603
笡,1,1,350884100
笥,2,2,366984104
符,28044,35696,159328343
笧,1,1,35805117
笨,136,189,197274627
笩,1,1,378099310
笪,4,4,148265988
笫,6,6,27266343
第,65364,144883,204137676
笮,2,2,139248718
笱,8,9,342548935
笲,1,1,167189250
笳,6,6,4162928
笴,2,2,227019045
笸,2,2,216329773
笺,17,20,176455065
笼,950,1284,214378747
笾,2,2,178067541
筃,1,1,84545025
筄,2,2,233930985
筆,6,13,108473028
筇,5,8,83504552
等,185788,1103706,318689086
筋,1564,2826,70047930
筏,283,513,75156371
筐,55,66,264439329
筑,58870,236818,305558636
筒,867,1449,123756701
答,16057,23183,279248304
策,88626,344275,115407133
筚,1,1,127825524
筛,27184,34528,66893724
筝,261,348,291207151
筠,45,51,229759973
筧,1,1,1305418
筮,2,2,175342830
筱,88,89,356879991
筲,1,1,157112916
筴,1,1,190194231
筵,20,25,355802588
筷,41,46,43521367
筸,1,1,203547647
筹,25916,50955,372470283
签,146667,326955,145163191
简,168625,346511,204674583
箁,1,1,369254439
箅,6,9,378277173
箆,1,1,148266369
箇,1,1,27266513
箋,1,1,35068649
箌,1,1,196268737
箍,39,58,349958407
箐,15,16,214036702
箑,1,1,328428446
箓,1,1,18646373
箔,67,92,215457883
箕,23,40,327192232
算,142630,501697,22186817
箙,1,1,339407113
箜,1,1,225027927
箝,1,1,343872034
箞,1,2,170488968
箟,1,2,6204215
箠,1,1,262404728
管,195005,1796333,285748219
箥,9,38,289848519
箦,1,1,133908633
箨,2,2,271115058
箩,21,30,300888985
箪,2,2,120573606
箫,38,58,50384650
箬,3,4,272539452
箭,544,970,298218562
箮,1,2,118100709
箱,10566,18675,322282917
箲,1,2,97638867
箳,1,1,69292724
箴,26,292,253901973
箵,4,4,315447285
箷,2,2,77988486
箸,1,1,240850340
箹,1,1,307595788
箼,1,1,233268178
箽,1,1,313558460
箿,1,2,80963498
節,16,21,221201773
篁,9,15,323990680
範,41,109,208166791
篅,1,1,331987085
篆,76,89,179903185
篇,4615,7667,16796660
築,69,119,344148433
篋,1,1,1242467
篎,1,1,160859454
篐,1,1,197624640
篑,2,3,375133584
篓,14,16,29453865
篗,1,1,30937992
篚,1,1,152191142
篝,27,31,359618362
篞,1,1,158273705
篟,1,1,37457707
篡,137,186,318190918
篢,1,1,91107502
篦,2,4,97063742
篧,4,4,71168696
篫,1,1,82741934
篮,13390,17540,105615862
篱,70,116,290342716
篲,1,1,138144162
篷,203,294,66505911
篺,2,5,118089301
篻,1,1,55649848
簂,1,1,261278031
簇,114,149,288324658
簋,4,6,301851627
簎,2,2,275082593
簏,1,1,297192473
簙,1,1,87402480
簝,10,11,81433308
簞,1,1,233016181
簟,5,5,314225358
簠,1,1,140431088
簡,27,34,33585031
簢,5,25,206412836
簦,9,12,196960962
簧,297,589,378933250
簩,1,1,34890280
簪,1,1,184305226
簬,5,5,148820159
簭,114,1307,46433285
簮,6,6,194566913
簰,1,1,176955891
簱,9,11,19962791
簲,4,4,212058173
簳,2,3,329608101
簶,2,2,217193539
簷,1,1,326654265
簸,13,16,166451499
簹,1,1,8670627
簽,12,30,4133552
簾,1,1,225635490
簿,1036,1354,342415186
籁,120,168,73616175
籂,2,2,252312542
籃,1,1,317499509
籌,12,23,105449600
籍,8901,12752,84593683
籙,1,1,57227167
籜,1,1,125371625
籡,1,1,27190354
籤,1,1,182680126
籧,1,19,330904126
籩,1,1,1451613
籫,1,1,345530354
籰,1,1,146831286
米,17098,69346,374217320
籴,2,2,141772853
类,84696,211973,354705021
籼,8,12,156988081
籽,56,80,40523368
粁,2,2,46434684
粉,5037,9554,27632678
粍,3,3,32727537
粎,3,7,205599841
粑,10,14,2835579
粒,1654,2801,225090032
粔,2,2,166300153
粕,88,198,8372448
粗,886,1164,339863220
粘,2615,3456,176673871
粛,1,1,327139780
粜,6,6,176966589
粝,3,3,20017053
粞,2,2,212075936
粟,49,51,329709360
粡,2,2,51887584
粢,2,2,276594247
粣,2,2,298049217
粤,2895,3795,119303921
粥,67,92,50792061
